num_regions 48
num_pairs 1128
resolution 0.200
inflate_radius 0.200
min_search_world_z 1.000
max_search_world_z 1.200
min_search_world_x -4.000
max_search_world_x 12.500
world_x_rule allow_inside_any_region_xy
map_shrink_x 0.000
map_shrink_y 0.000
resample_spacing 0.250
begin_paths
path 0 36_Flightsite_11 1 34_Flightsite_9 reachable
num_points 44
0.5760 -10.5440 1.1930
0.5588 -10.2946 1.1930
0.5416 -10.0452 1.1930
0.5244 -9.7958 1.1930
0.5072 -9.5464 1.1930
0.4900 -9.2970 1.1930
0.4728 -9.0476 1.1930
0.4556 -8.7981 1.1930
0.4384 -8.5487 1.1930
0.4212 -8.2993 1.1930
0.4040 -8.0499 1.1930
0.3868 -7.8005 1.1930
0.3696 -7.5511 1.1930
0.3524 -7.3017 1.1930
0.3352 -7.0523 1.1930
0.3180 -6.8029 1.1930
0.3008 -6.5535 1.1930
0.2836 -6.3041 1.1930
0.2664 -6.0547 1.1930
0.2492 -5.8053 1.1930
0.2320 -5.5558 1.1930
0.2148 -5.3064 1.1930
0.1976 -5.0570 1.1930
0.1804 -4.8076 1.1930
0.1915 -4.5584 1.1930
0.2122 -4.3093 1.1930
0.2330 -4.0601 1.1930
0.2537 -3.8110 1.1930
0.2745 -3.5619 1.1930
0.2953 -3.3127 1.1930
0.3160 -3.0636 1.1930
0.3368 -2.8145 1.1930
0.3576 -2.5653 1.1930
0.3783 -2.3162 1.1930
0.3991 -2.0671 1.1930
0.4198 -1.8179 1.1930
0.4406 -1.5688 1.1930
0.4614 -1.3196 1.1930
0.4821 -1.0705 1.1930
0.5029 -0.8214 1.1930
0.5236 -0.5722 1.1930
0.5444 -0.3231 1.1930
0.5652 -0.0740 1.1930
0.5760 0.0560 1.1930
end_path
path 0 36_Flightsite_11 2 33_Flightsite_8 reachable
num_points 62
0.5760 -10.5440 1.1930
0.5599 -10.2945 1.1930
0.5438 -10.0450 1.1930
0.5277 -9.7956 1.1930
0.5116 -9.5461 1.1930
0.4955 -9.2966 1.1930
0.4794 -9.0471 1.1930
0.4633 -8.7976 1.1930
0.4472 -8.5481 1.1930
0.4311 -8.2987 1.1930
0.4150 -8.0492 1.1930
0.3989 -7.7997 1.1930
0.3829 -7.5502 1.1930
0.3668 -7.3007 1.1930
0.3507 -7.0513 1.1930
0.3346 -6.8018 1.1930
0.3185 -6.5523 1.1930
0.3024 -6.3028 1.1930
0.2863 -6.0533 1.1930
0.2702 -5.8039 1.1930
0.2541 -5.5544 1.1930
0.2380 -5.3049 1.1930
0.2219 -5.0554 1.1930
0.2058 -4.8059 1.1930
0.1897 -4.5564 1.1930
0.1777 -4.3069 1.1930
0.1890 -4.0572 1.1930
0.2004 -3.8074 1.1930
0.2117 -3.5577 1.1930
0.2231 -3.3080 1.1930
0.2344 -3.0582 1.1930
0.2458 -2.8085 1.1930
0.2571 -2.5587 1.1930
0.2685 -2.3090 1.1930
0.2799 -2.0592 1.1930
0.2912 -1.8095 1.1930
0.3026 -1.5598 1.1930
0.3139 -1.3100 1.1930
0.3253 -1.0603 1.1930
0.3366 -0.8105 1.1930
0.3480 -0.5608 1.1930
0.3593 -0.3111 1.1930
0.3707 -0.0613 1.1930
0.3820 0.1884 1.1930
0.3934 0.4382 1.1930
0.4047 0.6879 1.1930
0.4161 0.9377 1.1930
0.4274 1.1874 1.1930
0.4388 1.4371 1.1930
0.4501 1.6869 1.1930
0.4615 1.9366 1.1930
0.4728 2.1864 1.1930
0.4842 2.4361 1.1930
0.4955 2.6859 1.1930
0.5069 2.9356 1.1930
0.5182 3.1853 1.1930
0.5296 3.4351 1.1930
0.5409 3.6848 1.1930
0.5523 3.9346 1.1930
0.5637 4.1843 1.1930
0.5750 4.4340 1.1930
0.5760 4.4560 1.1930
end_path
path 0 36_Flightsite_11 3 31_Flightsite_6 reachable
num_points 93
0.5760 -10.5440 1.1930
0.7085 -10.3320 1.1930
0.8410 -10.1200 1.1930
0.9735 -9.9080 1.1930
1.1060 -9.6960 1.1930
1.2385 -9.4840 1.1930
1.3710 -9.2720 1.1930
1.5035 -9.0600 1.1930
1.5846 -8.8311 1.1930
1.6034 -8.5818 1.1930
1.6223 -8.3325 1.1930
1.6412 -8.0833 1.1930
1.6601 -7.8340 1.1930
1.6790 -7.5847 1.1930
1.6979 -7.3354 1.1930
1.7167 -7.0861 1.1930
1.7356 -6.8368 1.1930
1.7545 -6.5875 1.1930
1.7734 -6.3383 1.1930
1.7923 -6.0890 1.1930
1.8112 -5.8397 1.1930
1.8301 -5.5904 1.1930
1.8489 -5.3411 1.1930
1.8678 -5.0918 1.1930
1.8867 -4.8425 1.1930
1.9056 -4.5933 1.1930
1.9245 -4.3440 1.1930
1.9434 -4.0947 1.1930
1.9623 -3.8454 1.1930
1.9811 -3.5961 1.1930
2.0000 -3.3468 1.1930
2.0189 -3.0975 1.1930
2.0378 -2.8483 1.1930
2.0567 -2.5990 1.1930
2.0756 -2.3497 1.1930
2.0945 -2.1004 1.1930
2.1133 -1.8511 1.1930
2.1322 -1.6018 1.1930
2.1511 -1.3525 1.1930
2.1700 -1.1033 1.1930
2.1889 -0.8540 1.1930
2.2078 -0.6047 1.1930
2.2267 -0.3554 1.1930
2.2455 -0.1061 1.1930
2.2644 0.1432 1.1930
2.2833 0.3925 1.1930
2.3022 0.6417 1.1930
2.3211 0.8910 1.1930
2.3400 1.1403 1.1930
2.3588 1.3896 1.1930
2.3777 1.6389 1.1930
2.3966 1.8882 1.1930
2.4155 2.1375 1.1930
2.4344 2.3867 1.1930
2.4533 2.6360 1.1930
2.4722 2.8853 1.1930
2.4910 3.1346 1.1930
2.5099 3.3839 1.1930
2.5288 3.6332 1.1930
2.5477 3.8825 1.1930
2.5666 4.1317 1.1930
2.6647 4.3447 1.1930
2.8414 4.5214 1.1930
3.0182 4.6982 1.1930
3.1950 4.8750 1.1930
3.3718 5.0518 1.1930
3.5485 5.2285 1.1930
3.7253 5.4053 1.1930
3.9021 5.5821 1.1930
4.0789 5.7589 1.1930
4.2703 5.7945 1.1930
4.4797 5.6579 1.1930
4.6891 5.5213 1.1930
4.8986 5.3848 1.1930
5.1080 5.2482 1.1930
5.3174 5.1116 1.1930
5.5268 4.9751 1.1930
5.7362 4.8385 1.1930
5.9456 4.7019 1.1930
6.1550 4.5654 1.1930
6.3644 4.4288 1.1930
6.5738 4.2922 1.1930
6.7832 4.1557 1.1930
6.9926 4.0191 1.1930
7.2020 3.8825 1.1930
7.4114 3.7460 1.1930
7.6208 3.6094 1.1930
7.8302 3.4728 1.1930
8.0396 3.3363 1.1930
8.2490 3.1997 1.1930
8.4584 3.0631 1.1930
8.6678 2.9266 1.1930
8.7760 2.8560 1.1930
end_path
path 0 36_Flightsite_11 4 35_Flightsite_10 reachable
num_points 24
0.5760 -10.5440 1.1930
0.5575 -10.2947 1.1930
0.5391 -10.0454 1.1930
0.5206 -9.7960 1.1930
0.5021 -9.5467 1.1930
0.4837 -9.2974 1.1930
0.4652 -9.0481 1.1930
0.4467 -8.7988 1.1930
0.4283 -8.5495 1.1930
0.4098 -8.3001 1.1930
0.3913 -8.0508 1.1930
0.3729 -7.8015 1.1930
0.3544 -7.5522 1.1930
0.3359 -7.3029 1.1930
0.3174 -7.0536 1.1930
0.2990 -6.8042 1.1930
0.2805 -6.5549 1.1930
0.2620 -6.3056 1.1930
0.2436 -6.0563 1.1930
0.2251 -5.8070 1.1930
0.2066 -5.5577 1.1930
0.1882 -5.3083 1.1930
0.2363 -5.0837 1.1930
0.3760 -4.9440 1.1930
end_path
path 0 36_Flightsite_11 5 30_Flightsite_5 reachable
num_points 77
0.5760 -10.5440 1.1930
0.7477 -10.7258 1.1930
0.9193 -10.9075 1.1930
1.0910 -11.0893 1.1930
1.2626 -11.2710 1.1930
1.4343 -11.4528 1.1930
1.6059 -11.6345 1.1930
1.7776 -11.8163 1.1930
1.9492 -11.9980 1.1930
2.1209 -12.1798 1.1930
2.2926 -12.3615 1.1930
2.4642 -12.5433 1.1930
2.6359 -12.7250 1.1930
2.8075 -12.9068 1.1930
2.9792 -13.0885 1.1930
3.1508 -13.2703 1.1930
3.3225 -13.4521 1.1930
3.4941 -13.6338 1.1930
3.6658 -13.8156 1.1930
3.8375 -13.9973 1.1930
4.0101 -14.1781 1.1930
4.1869 -14.3331 1.1930
4.3637 -14.1563 1.1930
4.5404 -13.9796 1.1930
4.7172 -13.8028 1.1930
4.8234 -13.5840 1.1930
4.8944 -13.3443 1.1930
4.9654 -13.1046 1.1930
5.0365 -12.8649 1.1930
5.1075 -12.6252 1.1930
5.1785 -12.3855 1.1930
5.2495 -12.1458 1.1930
5.3206 -11.9061 1.1930
5.3916 -11.6664 1.1930
5.4626 -11.4267 1.1930
5.5336 -11.1870 1.1930
5.6046 -10.9473 1.1930
5.6757 -10.7076 1.1930
5.7467 -10.4679 1.1930
5.8177 -10.2282 1.1930
5.8887 -9.9885 1.1930
5.9598 -9.7488 1.1930
6.0308 -9.5091 1.1930
6.1018 -9.2694 1.1930
6.1728 -9.0297 1.1930
6.2438 -8.7900 1.1930
6.3149 -8.5503 1.1930
6.3859 -8.3106 1.1930
6.4569 -8.0709 1.1930
6.5279 -7.8312 1.1930
6.5990 -7.5915 1.1930
6.6700 -7.3518 1.1930
6.7410 -7.1121 1.1930
6.8120 -6.8724 1.1930
6.8830 -6.6327 1.1930
6.9541 -6.3930 1.1930
7.0251 -6.1533 1.1930
7.0961 -5.9136 1.1930
7.1671 -5.6739 1.1930
7.2382 -5.4342 1.1930
7.3092 -5.1945 1.1930
7.3802 -4.9548 1.1930
7.4512 -4.7151 1.1930
7.5222 -4.4754 1.1930
7.5933 -4.2357 1.1930
7.6643 -3.9960 1.1930
7.7353 -3.7563 1.1930
7.8063 -3.5166 1.1930
7.8774 -3.2769 1.1930
7.9484 -3.0372 1.1930
8.0840 -2.8360 1.1930
8.2608 -2.6592 1.1930
8.4376 -2.4824 1.1930
8.6143 -2.3057 1.1930
8.7911 -2.1289 1.1930
8.9679 -1.9521 1.1930
8.9760 -1.9440 1.1930
end_path
path 0 36_Flightsite_11 6 29_Flightsite_4 reachable
num_points 60
0.5760 -10.5440 1.1930
0.7477 -10.7258 1.1930
0.9193 -10.9075 1.1930
1.0910 -11.0893 1.1930
1.2626 -11.2710 1.1930
1.4343 -11.4528 1.1930
1.6059 -11.6345 1.1930
1.7776 -11.8163 1.1930
1.9492 -11.9980 1.1930
2.1209 -12.1798 1.1930
